areacd,value
E01011949,77500
E01011950,27000
E01011951,42800
E01011952,70000
E01011953,62000
E01011954,141975
E01011955,63975
E01011957,69000
E01011959,374734
E01011960,155000
E01011961,88750
E01011962,92500
E01011963,129000
E01011964,145000
E01011965,217500
E01011966,152000
E01011967,115500
E01011968,124000
E01011969,129000
E01011970,125000
E01011971,135000
E01011973,31250
E01011974,102000
E01011975,52500
E01011976,52273
E01011977,66000
E01011978,85000
E01011979,:
E01011980,70000
E01011981,85975
E01011982,277995
E01011983,268000
E01011984,136250
E01011985,125000
E01011986,102500
E01011987,58500
E01011988,112000
E01011989,116475
E01011990,130000
E01011991,106000
E01011992,146450
E01011993,83500
E01011994,45000
E01011995,150000
E01011996,109500
E01011997,169975
E01011998,149950
E01011999,39500
E01012000,69000
E01012001,104950
E01012002,100380
E01012003,204250
E01012005,195000
E01032540,117000
E01032541,83000
E01033465,153500
E01033466,71750
E01033467,129500
E01012007,113500
E01012008,132500
E01012009,127250
E01012010,187500
E01012011,95995
E01012012,112000
E01012013,123495
E01012014,79000
E01012015,64000
E01012016,54450
E01012017,110000
E01012018,87000
E01012019,:
E01012020,86000
E01012021,76000
E01012022,246950
E01012023,170000
E01012024,157000
E01012025,132000
E01012026,136950
E01012027,60250
E01012030,148000
E01012031,101500
E01012032,180000
E01012033,140250
E01012034,221250
E01012035,116000
E01012036,49800
E01012037,45000
E01012038,45000
E01012039,57000
E01012040,46000
E01012041,:
E01012042,102250
E01012043,121250
E01012044,112000
E01012045,:
E01012046,147475
E01012047,150500
E01012048,144000
E01012049,142250
E01012050,72000
E01012051,71000
E01012052,155500
E01012053,158750
E01012054,120000
E01012055,142500
E01012056,80000
E01012057,90500
E01012058,35000
E01012059,43000
E01012060,74000
E01012061,70000
E01012062,185000
E01012063,147000
E01012064,136500
E01012065,226750
E01012066,199000
E01012067,168750
E01012068,44500
E01012071,270000
E01012073,180000
E01012074,66725
E01012075,60500
E01012076,62750
E01012077,82000
E01012078,62375
E01012079,114250
E01012080,99000
E01012081,108500
E01012082,73000
E01012083,62000
E01012084,:
E01012085,66500
E01012088,112995
E01012089,:
E01012090,67500
E01012091,73250
E01012092,57500
E01012093,65000
E01012094,72000
E01032552,150000
E01032553,195000
E01032593,257000
E01033468,45500
E01033469,156250
E01012095,137500
E01012096,50000
E01012097,113750
E01012098,145000
E01012099,38820
E01012100,70000
E01012101,90000
E01012102,73000
E01012105,106500
E01012106,93995
E01012107,78000
E01012108,97500
E01012109,76000
E01012110,104000
E01012111,92500
E01012112,:
E01012113,54000
E01012114,42500
E01012117,204950
E01012118,90000
E01012119,108500
E01012120,141000
E01012121,85000
E01012124,228498
E01012127,:
E01012128,57750
E01012129,135000
E01012130,132000
E01012131,135000
E01012132,102500
E01012134,130000
E01012136,67000
E01012137,115000
E01012138,199950
E01012139,160000
E01012140,104000
E01012141,133500
E01012142,107500
E01012143,114500
E01012144,105000
E01012145,95000
E01012146,130000
E01012147,165000
E01012148,79500
E01012149,147000
E01012150,71000
E01012151,133000
E01012152,163250
E01012154,144950
E01012155,179950
E01012156,147475
E01012157,202500
E01012158,280000
E01012159,147750
E01012160,219000
E01012161,160500
E01012162,71750
E01012163,126475
E01012164,95000
E01012165,134500
E01012167,144998
E01012168,110000
E01012170,:
E01012171,83000
E01012172,100000
E01012173,125000
E01012174,115000
E01012175,74500
E01012176,142500
E01012177,140000
E01012178,150000
E01012179,188498
E01012180,179500
E01012181,74500
E01012182,146000
E01012183,149000
E01012184,96700
E01012185,115000
E01012186,119950
E01032548,215000
E01032549,184000
E01032560,131995
E01032561,75000
E01032594,163000
E01033470,68500
E01033471,53000
E01033472,123000
E01033473,72000
E01012187,113750
E01012188,143000
E01012189,125000
E01012190,126500
E01012191,150000
E01012192,108000
E01012193,85000
E01012194,67000
E01012195,63000
E01012196,81000
E01012197,84000
E01012198,80500
E01012199,160000
E01012200,188500
E01012201,209975
E01012202,163750
E01012203,226500
E01012204,183000
E01012205,144000
E01012206,110000
E01012207,172750
E01012208,170000
E01012209,169950
E01012210,232500
E01012211,195000
E01012212,155000
E01012213,147750
E01012214,82000
E01012215,79000
E01012216,80000
E01012217,64500
E01012218,164000
E01012219,138000
E01012223,220000
E01012224,140000
E01012225,149000
E01012226,153350
E01012227,142750
E01012228,170000
E01012230,175000
E01012231,192500
E01012232,150000
E01012233,279995
E01012234,221000
E01012235,282995
E01012236,152475
E01012237,207000
E01012238,69950
E01012239,112500
E01012240,103000
E01012241,118000
E01012242,125000
E01012243,128500
E01012244,135000
E01012245,84000
E01012246,111500
E01012247,93000
E01012248,80500
E01012249,84250
E01012250,142450
E01012251,56475
E01012252,:
E01012253,91800
E01012254,49000
E01012255,150000
E01012256,156000
E01012257,134500
E01012258,82000
E01012259,111000
E01012260,127500
E01012261,108250
E01012262,52000
E01012264,164995
E01012266,137950
E01012267,52500
E01012268,128998
E01012269,220500
E01012270,155000
E01012271,82000
E01012272,110625
E01012273,74000
E01012274,92000
E01012275,94750
E01012276,115000
E01012277,90000
E01012278,108750
E01012279,105000
E01012280,125500
E01012281,91000
E01012282,100000
E01012283,172000
E01012284,101500
E01012285,169950
E01012286,40600
E01012287,71500
E01012288,57750
E01012289,63000
E01012290,150500
E01012291,112000
E01012292,103000
E01012294,219975
E01012295,91000
E01012296,140000
E01012297,207500
E01012298,375000
E01012299,229450
E01012300,130000
E01012301,200000
E01012302,180000
E01012303,190000
E01032542,100000
E01032543,66975
E01032544,125000
E01033474,174975
E01033475,234000
E01033476,387498
E01033477,65000
E01033478,255000
E01033479,177250
E01033480,289975
E01012304,55000
E01012305,60000
E01012306,113000
E01012307,75000
E01012309,141000
E01012310,120000
E01012311,122000
E01012312,94500
E01012313,96750
E01012314,82000
E01012315,210000
E01012316,235000
E01012317,110250
E01012318,105000
E01012319,98000
E01012323,111500
E01012324,107000
E01012325,146500
E01012326,117500
E01012327,162995
E01012328,123500
E01012329,150000
E01012330,150000
E01012331,104950
E01012332,92500
E01012333,121250
E01012334,218975
E01012335,204500
E01012336,300000
E01012337,288500
E01012338,194000
E01012339,273748
E01012340,82000
E01012341,114000
E01012342,129998
E01012343,149950
E01012344,116500
E01012345,172250
E01012346,220000
E01012347,200000
E01012348,187000
E01012349,50250
E01012350,83000
E01012351,120000
E01012352,67000
E01012353,60000
E01012354,72000
E01012355,137500
E01012356,124250
E01012357,71000
E01012358,110000
E01012359,78000
E01012360,282500
E01012361,287500
E01012362,57500
E01012363,88500
E01012364,95000
E01012365,163250
E01012366,192500
E01032545,115000
E01032546,130000
E01033481,186750
E01033482,159500
E01033483,68500
E01033484,67000
E01012367,82500
E01012368,149995
E01012369,194995
E01012370,85000
E01012371,146750
E01012372,185000
E01012373,160000
E01012374,180000
E01012375,284000
E01012376,275000
E01012377,125000
E01012378,174500
E01012379,115000
E01012380,103975
E01012381,141500
E01012382,64000
E01012383,99000
E01012384,154950
E01012385,282250
E01012386,267750
E01012387,245000
E01012388,95750
E01012389,166000
E01012390,133000
E01012391,107250
E01012392,230000
E01012393,289500
E01012394,158500
E01012395,237000
E01012396,85000
E01012397,105750
E01012398,133975
E01012399,92500
E01012400,130000
E01012401,225000
E01012402,95500
E01012403,156995
E01012404,129000
E01012405,130750
E01012406,130000
E01012407,65000
E01012408,69000
E01012409,82500
E01012410,148000
E01012411,132500
E01012412,105000
E01012413,100000
E01012414,140000
E01012415,152000
E01012416,169950
E01012417,77500
E01012418,240000
E01012419,91000
E01012420,87500
E01012421,133000
E01012422,:
E01012423,138500
E01012424,111750
E01012425,110000
E01012426,235000
E01012427,137000
E01012428,103500
E01012429,105000
E01012430,103975
E01012431,79950
E01012432,108975
E01012433,97000
E01012434,140000
E01012435,258000
E01012436,:
E01012437,87000
E01012438,:
E01012439,98000
E01012440,130000
E01012441,79000
E01012442,90000
E01012443,133750
E01012444,82000
E01012445,:
E01012446,455000
E01012447,499000
E01012448,338750
E01013995,170000
E01013996,223250
E01013997,189000
E01013998,290000
E01013999,295000
