AREACD,AREANM,Total,"Agriculture, forestry and fishing",Total production industries,Mining and quarrying,Manufacturing,"Electricity, gas, steam and air","Water supply, sewerage",Construction,Total service industries,Wholesale and retail,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,Professional scientific and technical activities,Administrative and support service activities,Public administration and defence,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,"Activities of households"
E12000001,North East,-2.7,-2.1,-3.4,-1.2,-4.0,-2.9,3.7,-1.1,-2.7,-1.7,-7.6,-5.9,1.3,3.3,-0.4,-0.9,-0.6,-1.4,-10.7,-5.1,-11.4,0.8,-5.6
E12000002,North West,-2.0,-1.4,2.2,5.4,2.8,-2.5,-1.0,-3.2,-2.9,-1.1,-3.5,-10.6,-1.9,0.5,-0.5,1.6,-1.9,-0.4,-15.3,-5.5,-1.5,-5.9,0.2
E12000003,Yorkshire and The Humber,-3.6,-3.4,-3.3,-0.8,-3.6,-5.0,2.6,-3.7,-3.7,-7.7,-1.4,-9.1,-4.2,3.6,-0.8,-3.8,1.4,1.4,-17.1,-2.4,-3.2,-2.9,-1.1
E12000004,East Midlands,-4.1,-2.8,-2.8,-0.5,-2.9,-4.6,1.4,-4.4,-4.5,-2.9,-3.1,-9.8,-7.5,2.2,-0.9,-3.4,-1.2,0.1,-20.0,-4.2,-3.8,-4.3,-4.5
E12000005,West Midlands,-3.5,-2.3,-3.9,-1.8,-4.7,-0.7,1.3,-7.7,-3.0,-3.4,-2.3,-6.5,-7.0,2.4,-0.9,0.1,-10.4,-0.1,-5.5,-2.2,-2.9,-4.6,-2.0
E12000006,East of England,-1.5,-0.7,0.6,2.4,0.5,-4.1,4.9,-4.9,-1.6,-2.4,-0.2,-9.3,-1.4,8.4,-0.9,-4.6,-3.7,0.2,1.8,-3.2,-2.9,-5.6,-1.6
E12000007,London,-1.5,0.8,-2.9,-5.5,-1.6,-11.3,0.0,-4.7,-1.4,-6.6,-10.1,-9.4,1.5,2.6,0.2,0.5,-2.3,0.6,-7.4,-0.9,-10.4,-4.0,-2.2
E12000008,South East,-3.4,-5.9,-4.9,-0.6,-4.4,-1.1,-10.1,-2.2,-3.2,-2.4,-5.4,-7.1,-1.5,1.6,-0.5,-0.7,-11.8,0.3,-12.7,-2.9,-4.5,-7.1,-3.5
E12000009,South West,-2.8,-3.0,-4.0,-2.0,-2.0,-10.6,-10.5,-6.3,-2.3,-1.7,-7.7,-7.0,-4.0,0.7,-1.1,-0.3,-6.4,0.3,0.7,-5.0,-3.8,-1.3,-1.5
W92000004,Wales,-2.4,-0.7,0.4,-2.5,0.5,-2.2,3.3,0.1,-3.5,-2.5,-10.5,-7.9,-3.6,0.1,0.0,0.3,-4.5,-0.7,-17.8,-2.0,-9.8,0.3,3.2
